symbol,avgMean,avgR,avgUV,avgS,avgM1,avgM3,avgM4,avgL,pctMean,pctR,pctUV,pctS,pctM1,pctM3,pctM4,pctL
vip,0.00454491446815775,0.00871811430416532,0,0,0,0,0.0142857142857143,0.00881057268722467,0.436275548740503,0.807232805941233,0,0,0,0,1.42857142857143,0.818124606670862
anapc1,0.00755551724264182,0.00322893122376493,0,0,0.0178571428571429,0.0273972602739726,0,0.00440528634361234,0.755551724264182,0.322893122376493,0,0,1.78571428571429,2.73972602739726,0,0.440528634361234
bcl2l11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acoxl,8.9903802930864E-05,0,0,0,0,0,0,0.000629326620516048,0.0089903802930864,0,0,0,0,0,0,0.0629326620516048
lhcgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mertka,0.000272062783683583,0.000645786244752987,0,0,0,0,0,0.0012586532410321,0.0272062783683583,0.0645786244752987,0,0,0,0,0,0.12586532410321
fbln7,0.00204081632653061,0,0,0,0,0,0.0142857142857143,0,0.204081632653061,0,0,0,0,0,1.42857142857143,0
zmp:0000001138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zmp:0000001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fo082031.1,0.000182158980752719,0.000645786244752987,0,0,0,0,0,0.000629326620516048,0.0182158980752719,0.0645786244752987,0,0,0,0,0,0.0629326620516048
itga9,0.000592604531169085,0.00226025185663545,0,0,0,0,0,0.00188797986154814,0.0592604531169085,0.226025185663545,0,0,0,0,0,0.188797986154814
golga4,0.0407444513112347,0.0364869228285438,0,0.0487804878048781,0.0178571428571429,0.0684931506849315,0.0714285714285714,0.0421648835745752,4.0518516116462,3.61640297061673,0,4.8780487804878,1.78571428571429,6.84931506849315,7.14285714285714,4.09062303335431
msh6,0.00564940041890811,0.0048433968356474,0,0,0.0178571428571429,0.0136986301369863,0,0.00314663310258024,0.564940041890811,0.48433968356474,0,0,1.78571428571429,1.36986301369863,0,0.314663310258024
fbxo11a,0.047433235331314,0.0545689376816274,0,0.0853658536585366,0.0178571428571429,0.0547945205479452,0.0571428571428571,0.0623033354310887,4.66655259440652,5.36002583144979,0,8.53658536585366,1.78571428571429,5.47945205479452,5.71428571428571,5.78980490874764
cabz01056727.1,0.000228286569663647,0.00096867936712948,0,0,0,0,0,0.000629326620516048,0.0228286569663647,0.096867936712948,0,0,0,0,0,0.0629326620516048
si:ch1073-268j14.1,4.61275889109276E-05,0.000322893122376493,0,0,0,0,0,0,0.00461275889109276,0.0322893122376493,0,0,0,0,0,0
